,new_cases_smoothed
2021-09-09,18195.857
2021-09-10,17174.571
2021-09-11,16237.0
2021-09-12,15551.286
2021-09-13,15333.571
2021-09-14,15328.857
2021-09-15,15199.429
2021-09-16,15574.286
2021-09-17,18271.714
2021-09-18,
2021-09-19,16493.429
2021-09-20,16584.429
2021-09-21,16842.857
2021-09-22,19601.0
2021-09-23,18096.714
2021-09-24,15715.0
2021-09-25,17695.429
2021-09-26,17649.857
2021-09-27,17658.429
2021-09-28,17873.286
2021-09-29,15630.714
2021-09-30,15207.0
2021-10-01,15120.857
2021-10-02,14909.857
2021-10-03,14952.286
2021-10-04,15262.714
2021-10-05,16014.286
2021-10-06,16251.571
2021-10-07,15203.714
2021-10-08,15271.286
2021-10-09,15616.714
2021-10-10,15510.857
2021-10-11,14864.429
2021-10-12,12751.571
2021-10-13,11298.143
2021-10-14,11386.143
2021-10-15,10780.857
2021-10-16,10060.429
2021-10-17,9742.286
2021-10-18,10074.571
2021-10-19,10914.286
2021-10-20,11962.286
2021-10-21,12212.857
2021-10-22,12084.286
2021-10-23,12390.571
2021-10-24,12155.0
2021-10-25,11941.857
2021-10-26,11957.857
2021-10-27,12160.143
2021-10-28,11688.714
2021-10-29,11586.286
2021-10-30,11315.857
2021-10-31,11543.571
2021-11-01,11086.286
2021-11-02,10025.286
2021-11-03,9909.0
2021-11-04,9846.286
2021-11-05,9891.571
2021-11-06,10057.429
2021-11-07,9990.429
2021-11-08,10312.571
2021-11-09,11154.286
2021-11-10,10964.286
2021-11-11,11291.571
2021-11-12,11520.286
2021-11-13,11261.0
2021-11-14,11066.857
2021-11-15,10475.714
2021-11-16,9726.857
2021-11-17,9460.0
2021-11-18,8869.143
2021-11-19,8551.143
2021-11-20,8387.857
2021-11-21,8500.143
2021-11-22,8699.857
2021-11-23,9538.714
2021-11-24,9416.143
2021-11-25,9542.0
2021-11-26,9328.571
2021-11-27,9342.0
2021-11-28,9120.286
2021-11-29,9170.0
2021-11-30,8862.143
2021-12-01,8866.143
2021-12-02,8815.857
2021-12-03,8779.143
2021-12-04,8650.286
2021-12-05,8815.571
2021-12-06,9033.857
2021-12-07,9012.571
2021-12-08,8705.429
2021-12-09,8251.429
2021-12-10,7743.286
2021-12-11,7068.571
2021-12-12,6628.857
2021-12-13,6165.0
2021-12-14,5342.571
2021-12-15,4620.571
2021-12-16,3893.143
2021-12-17,3507.143
2021-12-18,3463.857
2021-12-19,3441.429
2021-12-20,3422.714
2021-12-21,3330.571
2021-12-22,3066.0
2021-12-23,3082.143
2021-12-24,2984.571
2021-12-25,3169.286
2021-12-26,3670.857
2021-12-27,4287.0
2021-12-28,5046.714
2021-12-29,5980.286
2021-12-30,7243.714
2021-12-31,8173.714
2022-01-01,8189.143
2022-01-02,7737.286
2022-01-03,8409.0
2022-01-04,9854.571
2022-01-05,11724.714
2022-01-06,15040.143
2022-01-07,22626.143
2022-01-08,29129.143
2022-01-09,33108.0
2022-01-10,36289.0
2022-01-11,44015.286
2022-01-12,53304.0
2022-01-13,62178.143
2022-01-14,69009.571
2022-01-15,68903.714
2022-01-16,69420.714
2022-01-17,75200.714
2022-01-18,84784.571
2022-01-19,100165.714
2022-01-20,110428.714
2022-01-21,119030.0
2022-01-22,135679.714
2022-01-23,148468.143
2022-01-24,150360.429
2022-01-25,158924.429
2022-01-26,162100.143
2022-01-27,170659.571
2022-01-28,183443.143
2022-01-29,189227.0
2022-01-30,186606.0
2022-01-31,188785.429
2022-02-01,184637.0
2022-02-02,180093.143
2022-02-03,188299.857
2022-02-04,182264.714
2022-02-05,175478.286
2022-02-06,169393.143
2022-02-07,164640.571
2022-02-08,165530.857
2022-02-09,164595.571
2022-02-10,146808.0
2022-02-11,138983.143
2022-02-12,135677.143
2022-02-13,135215.0
2022-02-14,133750.429
2022-02-15,126281.571
2022-02-16,121011.714
2022-02-17,114938.429
2022-02-18,110414.571
2022-02-19,106154.429
2022-02-20,103610.857
2022-02-21,100884.429
2022-02-22,97783.286
2022-02-23,96191.429
2022-02-24,92730.857
2022-02-25,86776.143
2022-02-26,81740.714
2022-02-27,79802.0
2022-02-28,76873.286
2022-03-01,65271.286
2022-03-02,50451.286
2022-03-03,45348.143
2022-03-04,42625.857
2022-03-05,41606.857
2022-03-06,39961.571
2022-03-07,40180.0
2022-03-08,47638.286
2022-03-09,50229.429
2022-03-10,50362.0
2022-03-11,47882.286
2022-03-12,45746.286
2022-03-13,45472.571
2022-03-14,44787.714
2022-03-15,41245.857
2022-03-16,41525.143
2022-03-17,39086.286
2022-03-18,38796.0
2022-03-19,37630.143
2022-03-20,37568.714
2022-03-21,36962.429
2022-03-22,35800.286
2022-03-23,35655.0
2022-03-24,34679.714
2022-03-25,32138.429
2022-03-26,30666.857
2022-03-27,30275.143
2022-03-28,29651.286
2022-03-29,27935.714
2022-03-30,26034.571
2022-03-31,25157.429
2022-04-01,24106.286
2022-04-02,22353.143
2022-04-03,21863.571
2022-04-04,22530.857
2022-04-05,22154.429
2022-04-06,21212.857
2022-04-07,20522.571
2022-04-08,21003.857
2022-04-09,21599.143
2022-04-10,21599.143
2022-04-11,20936.0
2022-04-12,20287.714
2022-04-13,20262.857
2022-04-14,19813.714
2022-04-15,17394.571
2022-04-16,14758.286
2022-04-17,14091.286
2022-04-18,14168.429
2022-04-19,12990.429
2022-04-20,14433.571
2022-04-21,13800.714
2022-04-22,13056.429
2022-04-23,13675.857
2022-04-24,13835.0
2022-04-25,13547.286
2022-04-26,14691.714
2022-04-27,12433.571
2022-04-28,12613.0
2022-04-29,13477.857
2022-04-30,14632.571
2022-05-01,15005.143
2022-05-02,15011.143
2022-05-03,14909.714
2022-05-04,14785.286
2022-05-05,15037.571
2022-05-06,15838.0
2022-05-07,15756.286
2022-05-08,15719.571
2022-05-09,16178.286
2022-05-10,15994.143
2022-05-11,16469.286
2022-05-12,16421.0
2022-05-13,17261.571
2022-05-14,17652.0
2022-05-15,17693.429
2022-05-16,18236.429
2022-05-17,15358.857
2022-05-18,12016.286
2022-05-19,8967.143
2022-05-20,13953.429
2022-05-21,11474.143
2022-05-22,14690.0
2022-05-23,14585.0
2022-05-24,19273.571
2022-05-25,21327.286
2022-05-26,25516.0
2022-05-27,22676.0
2022-05-28,26138.714
2022-05-29,23194.143
2022-05-30,24809.429
2022-05-31,26031.857
2022-06-01,29832.286
2022-06-02,31539.714
2022-06-03,30904.857
2022-06-04,27442.143
2022-06-05,26271.429
2022-06-06,31065.286
2022-06-07,35303.571
2022-06-08,36537.143
2022-06-09,37080.0
2022-06-10,39980.286
2022-06-11,43951.143
2022-06-12,45626.571
2022-06-13,43131.429
2022-06-14,39330.857
2022-06-15,42284.571
2022-06-16,35845.571
2022-06-17,27775.429
2022-06-18,23804.571
2022-06-19,22129.143
2022-06-20,36775.286
2022-06-21,39621.143
2022-06-22,39852.0
2022-06-23,50144.714
2022-06-24,58771.0
2022-06-25,58771.0
2022-06-26,58771.0
2022-06-27,53693.0
2022-06-28,55446.714
2022-06-29,45174.429
2022-06-30,56462.286
2022-07-01,58699.571
2022-07-02,64097.286
2022-07-03,66750.857
2022-07-04,57943.857
