year;month;day;lod(ms);sig(ms);
1963;3;3;1.3410;1.4000;
1963;3;4;1.2310;1.4000;
1963;3;5;1.1910;1.4000;
1963;3;6;1.2080;1.4000;
1963;3;7;1.2870;1.4000;
1963;3;8;1.3850;1.4000;
1963;3;9;1.4980;1.4000;
1963;3;10;1.5870;1.4000;
1963;3;11;1.6480;1.4000;
1963;3;12;1.6730;1.4000;
1963;3;13;1.6600;1.4000;
1963;3;14;1.6120;1.4000;
1963;3;15;1.5380;1.4000;
1963;3;16;1.4450;1.4000;
1963;3;17;1.3580;1.4000;
1963;3;18;1.3040;1.4000;
1963;3;19;1.2880;1.4000;
1963;3;20;1.3280;1.4000;
1963;3;21;1.4370;1.4000;
1963;3;22;1.6290;1.4000;
1963;3;23;1.8650;1.4000;
1963;3;24;2.1190;1.4000;
1963;3;25;2.3170;1.4000;
1963;3;26;2.4170;1.4000;
1963;3;27;2.3770;1.4000;
1963;3;28;2.2280;1.4000;
1963;3;29;2.0210;1.4000;
1963;3;30;1.8190;1.4000;
1963;3;31;1.6790;1.4000;
1963;4;1;1.6060;1.4000;
1963;4;2;1.5980;1.4000;
1963;4;3;1.6500;1.4000;
1963;4;4;1.7380;1.4000;
1963;4;5;1.8290;1.4000;
1963;4;6;1.9130;1.4000;
1963;4;7;1.9630;1.4000;
1963;4;8;1.9900;1.4000;
1963;4;9;1.9680;1.4000;
1963;4;10;1.8890;1.4000;
1963;4;11;1.7900;1.4000;
1963;4;12;1.6720;1.4000;
1963;4;13;1.5640;1.4000;
1963;4;14;1.4740;1.4000;
1963;4;15;1.4200;1.4000;
1963;4;16;1.4250;1.4000;
1963;4;17;1.4810;1.4000;
1963;4;18;1.6160;1.4000;
1963;4;19;1.8150;1.4000;
1963;4;20;2.0620;1.4000;
1963;4;21;2.2840;1.4000;
1963;4;22;2.4310;1.4000;
1963;4;23;2.4680;1.4000;
1963;4;24;2.3630;1.4000;
1963;4;25;2.1610;1.4000;
1963;4;26;1.9260;1.4000;
1963;4;27;1.7310;1.4000;
1963;4;28;1.5980;1.4000;
1963;4;29;1.5590;1.4000;
1963;4;30;1.5900;1.4000;
1963;5;1;1.6770;1.4000;
1963;5;2;1.7630;1.4000;
1963;5;3;1.8470;1.4000;
1963;5;4;1.9110;1.4000;
1963;5;5;1.9440;1.4000;
1963;5;6;1.9420;1.4000;
1963;5;7;1.8920;1.4000;
1963;5;8;1.8090;1.4000;
1963;5;9;1.6930;1.4000;
1963;5;10;1.5700;1.4000;
1963;5;11;1.4580;1.4000;
1963;5;12;1.3760;1.4000;
1963;5;13;1.3410;1.4000;
1963;5;14;1.3620;1.4000;
1963;5;15;1.4260;1.4000;
1963;5;16;1.5590;1.4000;
1963;5;17;1.7450;1.4000;
1963;5;18;1.9340;1.4000;
1963;5;19;2.0850;1.4000;
1963;5;20;2.1380;1.4000;
1963;5;21;2.0820;1.4000;
1963;5;22;1.9220;1.4000;
1963;5;23;1.6920;1.4000;
1963;5;24;1.4550;1.4000;
1963;5;25;1.2710;1.4000;
1963;5;26;1.1790;1.4000;
1963;5;27;1.1780;1.4000;
1963;5;28;1.2250;1.4000;
1963;5;29;1.3100;1.4000;
1963;5;30;1.4050;1.4000;
1963;5;31;1.4720;1.4000;
1963;6;1;1.5210;1.4000;
1963;6;2;1.5240;1.4000;
1963;6;3;1.5000;1.4000;
1963;6;4;1.4430;1.4000;
1963;6;5;1.3720;1.4000;
1963;6;6;1.2690;1.4000;
1963;6;7;1.1700;1.4000;
1963;6;8;1.0860;1.4000;
1963;6;9;1.0440;1.4000;
1963;6;10;1.0570;1.4000;
1963;6;11;1.1320;1.4000;
1963;6;12;1.2530;1.4000;
1963;6;13;1.4230;1.4000;
1963;6;14;1.5960;1.4000;
1963;6;15;1.7490;1.4000;
1963;6;16;1.8410;1.4000;
1963;6;17;1.8310;1.4000;
1963;6;18;1.7170;1.4000;
1963;6;19;1.5220;1.4000;
1963;6;20;1.2810;1.4000;
1963;6;21;1.0750;1.4000;
1963;6;22;0.9470;1.4000;
1963;6;23;0.8930;1.4000;
1963;6;24;0.9190;1.4000;
1963;6;25;0.9840;1.4000;
1963;6;26;1.0570;1.4000;
1963;6;27;1.1240;1.4000;
1963;6;28;1.1500;1.4000;
1963;6;29;1.1600;1.4000;
1963;6;30;1.1210;1.4000;
1963;7;1;1.0490;1.4000;
1963;7;2;0.9400;1.4000;
1963;7;3;0.8290;1.4000;
1963;7;4;0.7090;1.4000;
1963;7;5;0.6070;1.4000;
1963;7;6;0.5310;1.4000;
1963;7;7;0.5190;1.4000;
1963;7;8;0.5590;1.4000;
