Years;SCH15;STO15;WIL16;BCC;CCSM;GISS;IPSL;MPI
1246;0.1079;;-0.2562;-0.8335;-0.3105;-0.2843;-1.1313;-0.4869
1247;0.1835;;-0.0586;-0.9916;-0.4669;-0.2202;-1.4022;-0.7121
1248;0.0976;;-0.3220;-0.7571;-0.4431;-0.1382;-0.9723;-0.9380
1249;0.1706;;-0.0421;-0.8501;-0.4054;-0.0505;-0.6175;-0.8974
1250;0.1203;;-0.1244;-0.5584;-0.3480;-0.2059;-1.0886;-0.3629
1251;0.3564;;-0.1244;-0.7437;-1.0093;-0.1013;-1.1131;-0.7361
1252;0.1346;;-0.0421;-0.9155;-0.8515;-0.1184;-0.9443;-1.2226
1253;0.1302;;-0.0915;-0.7622;-0.4339;-0.3383;-0.9387;-1.0095
1254;0.0476;;-0.3879;-0.7150;-0.2702;-0.0698;-0.8740;-0.5264
1255;0.1932;;0.1225;-0.7878;-0.7672;-0.0403;-0.9910;-1.0406
1256;-0.1840;;-0.3549;-0.5897;-0.3199;0.0308;-0.6640;-0.4244
1257;0.1757;;0.0896;-0.5843;-0.3128;-0.0253;-0.8837;-0.4142
1258;-0.5709;;-0.7500;-1.2483;-2.8132;-2.6138;-3.1940;-3.6033
1259;-0.2828;;-0.7336;-1.6676;-5.6559;-1.9672;-3.4040;-2.8231
1260;-0.1559;;-0.7561;-1.2559;-3.1431;-0.8089;-1.9656;-1.8201
1261;0.0204;;-0.5738;-0.8202;-1.9008;-0.4495;-1.3395;-1.8155
1262;0.1513;;-0.4743;-0.5235;-1.7303;-0.4478;-1.7752;-1.0804
1263;-0.3651;;-0.7727;-1.0528;-1.4075;-0.0492;-1.6257;-0.8671
1264;0.0349;;-0.5406;-0.6755;-1.0628;-0.2080;-1.4860;-0.6959
1265;-0.0598;;-0.3583;-0.4762;-1.0777;-0.3261;-1.2133;-1.0413
1266;0.2674;;-0.2589;-0.4435;-0.7110;-0.1640;-1.1299;-0.6823
1267;-0.0938;;-0.6401;-0.5811;-0.7168;-0.2264;-1.1213;-0.8143
1268;0.1971;;-0.5572;-0.2798;-0.7134;-0.0650;-1.2755;-0.5531
1269;0.2105;;-0.4246;-0.4574;-0.6738;-0.2162;-1.2003;-0.4638
1270;0.1206;;-0.5406;-0.4316;-0.7645;-0.1234;-1.4217;-0.6208
1271;0.2765;;-0.3252;-0.4543;-0.5995;-0.0383;-1.2780;-0.3140
1272;0.0477;;-0.4080;-0.7470;-0.8376;0.1489;-1.2952;-0.6398
1273;0.0925;;-0.4412;-0.6051;-0.7773;-0.0365;-1.0840;-0.6060
1274;0.0692;;-0.4246;-0.4850;-0.8124;-0.2201;-1.2683;-0.6321
1275;-0.1371;;-0.5572;-0.8787;-0.8652;-0.1730;-1.1633;-0.7529
1276;0.1303;;-0.4412;-0.9472;-0.8998;-0.3717;-1.1652;-0.6279
1277;-0.0023;;-0.5572;-0.5923;-0.9668;-0.3809;-0.9358;-0.7675
1278;-0.1598;;-0.7064;-0.8878;-0.7561;-0.0596;-1.4219;-0.7001
1279;0.3012;;-0.5075;-0.5311;-0.8259;-0.0290;-1.7348;-0.8946
1280;0.0123;;-0.7064;-0.8039;-0.6306;-0.1572;-1.2281;-0.2674
1281;0.0357;;-0.3749;-0.1397;-0.8176;-0.2386;-1.2694;-0.7741
1282;-0.0166;;-0.5904;-0.7092;-0.8826;-0.2515;-1.2452;-0.8497
1283;0.1433;;-0.5075;-0.7935;-0.4163;-0.3754;-1.6926;-0.6399
1284;0.1412;;-0.5075;-0.3916;-1.1528;-0.2074;-1.3315;-0.5406
1285;-0.0591;;-0.7064;-1.0852;-1.8864;-0.3296;-1.3464;-0.8265
1286;-0.0553;;-0.8390;-0.3339;-1.3212;-1.6394;-1.7628;-1.4672
